,party,quote,said_by
26,D,"More than a building that houses books and data, the library has always been a window to a larger world--a place where we've always come to discover big ideas and profound concepts that help move the American story forward. . . . .Libraries remind us that truth isn't about who yells the loudest, but who has the right information. Because even as we're the most religious of people, America's innovative genius has always been preserved because we also have a deep faith in facts.And so the moment we persuade a child, any child, to cross that threshold into a library, we've changed their lives forever, and for the better. This is an enormous force for good.",Barack Obama
27,D,"While we breathe, we will hope.",Barack Obama
28,D,No one is pro-abortion. ,Barack Obama
29,D,You can’t let your failures define you. You have to let your failures teach you.,Barack Obama
30,D,"Change will not come if we wait for some other person, or if we wait for some other time. We are the ones we've been waiting for. We are the change that we seek.",Barack Obama
31,D,"The best way to not feel hopeless is to get up and do something. Don’t wait for good things to happen to you. If you go out and make some good things happen, you will fill the world with hope, you will fill yourself with hope.",Barack Obama
32,D,A change is brought about because ordinary people do extraordinary things.,Barack Obama
33,D,Yes We Can!,Barack Obama
34,D,We are the change we have been waiting for.,Barack Obama
35,D,"In the unlikely story that is America, there has never been anything false about hope.",Barack Obama
36,D,"In the face of impossible odds, people who love this country can change it.",Barack Obama
37,D,"I'm inspired by the people I meet in my travels--hearing their stories, seeing the hardships they overcome, their fundamental optimism and decency. I'm inspired by the love people have for their children. And I'm inspired by my own children, how full they make my heart. They make me want to work to make the world a little bit better. And they make me want to be a better man.",Barack Obama
38,D,"If you're walking down the right path and you're willing to keep walking, eventually you'll make progress.",Barack Obama
39,D,"If there's a child on the south side of Chicago who can't read, that matters to me, even if it's not my child. If there's a senior citizen somewhere who can't pay for their prescription, who has to choose between medicine and the rent, that makes my life poorer - even if it's not my grandparent. If there's an Arab-American or Mexican-American family being rounded up by John Ashcroft without benefit of an attorney or due process, I know that that threatens my civil liberties. And I don't have to be a woman to be concerned that the Supreme Court is trying to take away a woman's right, because I know that my rights are next. It is that fundamental belief - I am my brother’s keeper, I am my sister’s keeper - that makes this country work.",Barack Obama
40,D,There's not a liberal America and a conservative America - there's the United States of America.,Barack Obama
41,D,"We don't ask you to believe in our ability to bring change, rather, we ask you to believe in yours.",Barack Obama
42,D,"One voice can change a room, and if one voice can change a room, then it can change a city, and if it can change a city, it can change a state, and if it change a state, it can change a nation, and if it can change a nation, it can change the world. Your voice can change the world",Barack Obama
43,D,"I believe in evolution, scientific inquiry, and global warming; I believe in free speech, whether politically correct or politically incorrect, and I am suspicious of using government to impose anybody's religious beliefs -including my own- on nonbelievers.",Barack Obama
44,D,Focusing your life solely on making a buck shows a poverty of ambition. It asks too little of yourself. And it will leave you unfulfilled.,Barack Obama
45,D,What I’ve realized is that life doesn’t count for much unless you’re willing to do your small part to leave our children — all of our children — a better world. Any fool can have a child. That doesn’t make you a father. It’s the courage to raise a child that makes you a father.”,Barack Obama
46,D,"No, you can't deny women their basic rights and pretend it's about your 'religious freedom'. If you don't like birth control, don't use it. Religious freedom doesn't mean you can force others to live by your own beliefs.",Barack Obama
47,D,Nothing can stand in the way of the power of millions of voices calling for change.,Barack Obama
48,D,"it’s important to make sure that we’re talking with each other in a way that heals, not in a way that wounds.",Barack Obama
49,D,"Making your mark on the world is hard. If it were easy, everybody would do it. But it's not. It takes patience, it takes commitment, and it comes with plenty of failure along the way. The real test is not whether you avoid this failure, because you won't. it's whether you let it harden or shame you into inaction, or whether you learn from it; whether you choose to persevere.",Barack Obama
50,D,Why can't I just eat my waffle?,Barack Obama
51,D,"Hope is not blind optimism. It's not ignoring the enormity of the task ahead or the roadblocks that stand in our path. It's not sitting on the sidelines or shirking from a fight. Hope is that thing inside us that insists, despite all evidence to the contrary, that something better awaits us if we have the courage to reach for it, and to work for it, and to fight for it. Hope is the belief that destiny will not be written for us, but by us, by the men and women who are not content to settle for the world as it is, who have the courage to remake the world as it should be.",Barack Obama
52,D,"I have always believed that hope is that stubborn thing inside us that insists, despite all the evidence to the contrary, that something better awaits us so long as we have the courage to keep reaching, to keep working, to keep fighting.”",Barack Obama
53,D,"Our stories may be singular, but our destination is shared.",Barack Obama
54,D,The worst thing that colonialism did was to cloud our view of our past.,Barack Obama
55,D,You can put lipstick on a pig. It's still a pig.,Barack Obama
56,D,"More than a building that houses books and data, the library has always been a window to a larger world--a place where we've always come to discover big ideas and profound concepts that help move the American story forward. . . . .Libraries remind us that truth isn't about who yells the loudest, but who has the right information. Because even as we're the most religious of people, America's innovative genius has always been preserved because we also have a deep faith in facts.And so the moment we persuade a child, any child, to cross that threshold into a library, we've changed their lives forever, and for the better. This is an enormous force for good.",Barack Obama
57,D,"While we breathe, we will hope.",Barack Obama
58,D,No one is pro-abortion. ,Barack Obama
59,D,You can’t let your failures define you. You have to let your failures teach you.,Barack Obama
60,D,"Change will not come if we wait for some other person, or if we wait for some other time. We are the ones we've been waiting for. We are the change that we seek.",Barack Obama
61,D,"The best way to not feel hopeless is to get up and do something. Don’t wait for good things to happen to you. If you go out and make some good things happen, you will fill the world with hope, you will fill yourself with hope.",Barack Obama
62,D,A change is brought about because ordinary people do extraordinary things.,Barack Obama
63,D,Yes We Can!,Barack Obama
64,D,We are the change we have been waiting for.,Barack Obama
65,D,"In the unlikely story that is America, there has never been anything false about hope.",Barack Obama
66,D,"In the face of impossible odds, people who love this country can change it.",Barack Obama
67,D,"I'm inspired by the people I meet in my travels--hearing their stories, seeing the hardships they overcome, their fundamental optimism and decency. I'm inspired by the love people have for their children. And I'm inspired by my own children, how full they make my heart. They make me want to work to make the world a little bit better. And they make me want to be a better man.",Barack Obama
68,D,"If you're walking down the right path and you're willing to keep walking, eventually you'll make progress.",Barack Obama
69,D,"If there's a child on the south side of Chicago who can't read, that matters to me, even if it's not my child. If there's a senior citizen somewhere who can't pay for their prescription, who has to choose between medicine and the rent, that makes my life poorer - even if it's not my grandparent. If there's an Arab-American or Mexican-American family being rounded up by John Ashcroft without benefit of an attorney or due process, I know that that threatens my civil liberties. And I don't have to be a woman to be concerned that the Supreme Court is trying to take away a woman's right, because I know that my rights are next. It is that fundamental belief - I am my brother’s keeper, I am my sister’s keeper - that makes this country work.",Barack Obama
70,D,There's not a liberal America and a conservative America - there's the United States of America.,Barack Obama
71,D,"We don't ask you to believe in our ability to bring change, rather, we ask you to believe in yours.",Barack Obama
72,D,"One voice can change a room, and if one voice can change a room, then it can change a city, and if it can change a city, it can change a state, and if it change a state, it can change a nation, and if it can change a nation, it can change the world. Your voice can change the world",Barack Obama
73,D,"I believe in evolution, scientific inquiry, and global warming; I believe in free speech, whether politically correct or politically incorrect, and I am suspicious of using government to impose anybody's religious beliefs -including my own- on nonbelievers.",Barack Obama
74,D,Focusing your life solely on making a buck shows a poverty of ambition. It asks too little of yourself. And it will leave you unfulfilled.,Barack Obama
75,D,What I’ve realized is that life doesn’t count for much unless you’re willing to do your small part to leave our children — all of our children — a better world. Any fool can have a child. That doesn’t make you a father. It’s the courage to raise a child that makes you a father.”,Barack Obama
76,D,"No, you can't deny women their basic rights and pretend it's about your 'religious freedom'. If you don't like birth control, don't use it. Religious freedom doesn't mean you can force others to live by your own beliefs.",Barack Obama
77,D,Nothing can stand in the way of the power of millions of voices calling for change.,Barack Obama
78,D,"it’s important to make sure that we’re talking with each other in a way that heals, not in a way that wounds.",Barack Obama
79,D,"Making your mark on the world is hard. If it were easy, everybody would do it. But it's not. It takes patience, it takes commitment, and it comes with plenty of failure along the way. The real test is not whether you avoid this failure, because you won't. it's whether you let it harden or shame you into inaction, or whether you learn from it; whether you choose to persevere.",Barack Obama
80,D,Why can't I just eat my waffle?,Barack Obama
81,D,"Hope is not blind optimism. It's not ignoring the enormity of the task ahead or the roadblocks that stand in our path. It's not sitting on the sidelines or shirking from a fight. Hope is that thing inside us that insists, despite all evidence to the contrary, that something better awaits us if we have the courage to reach for it, and to work for it, and to fight for it. Hope is the belief that destiny will not be written for us, but by us, by the men and women who are not content to settle for the world as it is, who have the courage to remake the world as it should be.",Barack Obama
82,D,"I have always believed that hope is that stubborn thing inside us that insists, despite all the evidence to the contrary, that something better awaits us so long as we have the courage to keep reaching, to keep working, to keep fighting.”",Barack Obama
83,D,"Our stories may be singular, but our destination is shared.",Barack Obama
84,D,The worst thing that colonialism did was to cloud our view of our past.,Barack Obama
85,D,You can put lipstick on a pig. It's still a pig.,Barack Obama
86,D,"More than a building that houses books and data, the library has always been a window to a larger world--a place where we've always come to discover big ideas and profound concepts that help move the American story forward. . . . .Libraries remind us that truth isn't about who yells the loudest, but who has the right information. Because even as we're the most religious of people, America's innovative genius has always been preserved because we also have a deep faith in facts.And so the moment we persuade a child, any child, to cross that threshold into a library, we've changed their lives forever, and for the better. This is an enormous force for good.",Barack Obama
87,D,"While we breathe, we will hope.",Barack Obama
88,D,No one is pro-abortion. ,Barack Obama
89,D,You can’t let your failures define you. You have to let your failures teach you.,Barack Obama
90,D,"Change will not come if we wait for some other person, or if we wait for some other time. We are the ones we've been waiting for. We are the change that we seek.",Barack Obama
91,D,"The best way to not feel hopeless is to get up and do something. Don’t wait for good things to happen to you. If you go out and make some good things happen, you will fill the world with hope, you will fill yourself with hope.",Barack Obama
92,D,A change is brought about because ordinary people do extraordinary things.,Barack Obama
93,D,Yes We Can!,Barack Obama
94,D,We are the change we have been waiting for.,Barack Obama
95,D,"In the unlikely story that is America, there has never been anything false about hope.",Barack Obama
96,D,"In the face of impossible odds, people who love this country can change it.",Barack Obama
97,D,"I'm inspired by the people I meet in my travels--hearing their stories, seeing the hardships they overcome, their fundamental optimism and decency. I'm inspired by the love people have for their children. And I'm inspired by my own children, how full they make my heart. They make me want to work to make the world a little bit better. And they make me want to be a better man.",Barack Obama
98,D,"If you're walking down the right path and you're willing to keep walking, eventually you'll make progress.",Barack Obama
99,D,"If there's a child on the south side of Chicago who can't read, that matters to me, even if it's not my child. If there's a senior citizen somewhere who can't pay for their prescription, who has to choose between medicine and the rent, that makes my life poorer - even if it's not my grandparent. If there's an Arab-American or Mexican-American family being rounded up by John Ashcroft without benefit of an attorney or due process, I know that that threatens my civil liberties. And I don't have to be a woman to be concerned that the Supreme Court is trying to take away a woman's right, because I know that my rights are next. It is that fundamental belief - I am my brother’s keeper, I am my sister’s keeper - that makes this country work.",Barack Obama
100,D,There's not a liberal America and a conservative America - there's the United States of America.,Barack Obama
101,D,"We don't ask you to believe in our ability to bring change, rather, we ask you to believe in yours.",Barack Obama
102,D,"One voice can change a room, and if one voice can change a room, then it can change a city, and if it can change a city, it can change a state, and if it change a state, it can change a nation, and if it can change a nation, it can change the world. Your voice can change the world",Barack Obama
103,D,"I believe in evolution, scientific inquiry, and global warming; I believe in free speech, whether politically correct or politically incorrect, and I am suspicious of using government to impose anybody's religious beliefs -including my own- on nonbelievers.",Barack Obama
104,D,Focusing your life solely on making a buck shows a poverty of ambition. It asks too little of yourself. And it will leave you unfulfilled.,Barack Obama
105,D,What I’ve realized is that life doesn’t count for much unless you’re willing to do your small part to leave our children — all of our children — a better world. Any fool can have a child. That doesn’t make you a father. It’s the courage to raise a child that makes you a father.”,Barack Obama
106,D,"No, you can't deny women their basic rights and pretend it's about your 'religious freedom'. If you don't like birth control, don't use it. Religious freedom doesn't mean you can force others to live by your own beliefs.",Barack Obama
107,D,Nothing can stand in the way of the power of millions of voices calling for change.,Barack Obama
108,D,"it’s important to make sure that we’re talking with each other in a way that heals, not in a way that wounds.",Barack Obama
109,D,"Making your mark on the world is hard. If it were easy, everybody would do it. But it's not. It takes patience, it takes commitment, and it comes with plenty of failure along the way. The real test is not whether you avoid this failure, because you won't. it's whether you let it harden or shame you into inaction, or whether you learn from it; whether you choose to persevere.",Barack Obama
110,D,Why can't I just eat my waffle?,Barack Obama
111,D,"Hope is not blind optimism. It's not ignoring the enormity of the task ahead or the roadblocks that stand in our path. It's not sitting on the sidelines or shirking from a fight. Hope is that thing inside us that insists, despite all evidence to the contrary, that something better awaits us if we have the courage to reach for it, and to work for it, and to fight for it. Hope is the belief that destiny will not be written for us, but by us, by the men and women who are not content to settle for the world as it is, who have the courage to remake the world as it should be.",Barack Obama
112,D,"I have always believed that hope is that stubborn thing inside us that insists, despite all the evidence to the contrary, that something better awaits us so long as we have the courage to keep reaching, to keep working, to keep fighting.”",Barack Obama
113,D,"Our stories may be singular, but our destination is shared.",Barack Obama
114,D,The worst thing that colonialism did was to cloud our view of our past.,Barack Obama
115,D,You can put lipstick on a pig. It's still a pig.,Barack Obama
116,D,"More than a building that houses books and data, the library has always been a window to a larger world--a place where we've always come to discover big ideas and profound concepts that help move the American story forward. . . . .Libraries remind us that truth isn't about who yells the loudest, but who has the right information. Because even as we're the most religious of people, America's innovative genius has always been preserved because we also have a deep faith in facts.And so the moment we persuade a child, any child, to cross that threshold into a library, we've changed their lives forever, and for the better. This is an enormous force for good.",Barack Obama
117,D,"While we breathe, we will hope.",Barack Obama
118,D,No one is pro-abortion. ,Barack Obama
119,D,You can’t let your failures define you. You have to let your failures teach you.,Barack Obama
120,D,"Change will not come if we wait for some other person, or if we wait for some other time. We are the ones we've been waiting for. We are the change that we seek.",Barack Obama
121,D,"The best way to not feel hopeless is to get up and do something. Don’t wait for good things to happen to you. If you go out and make some good things happen, you will fill the world with hope, you will fill yourself with hope.",Barack Obama
122,D,A change is brought about because ordinary people do extraordinary things.,Barack Obama
123,D,Yes We Can!,Barack Obama
124,D,We are the change we have been waiting for.,Barack Obama
125,D,"In the unlikely story that is America, there has never been anything false about hope.",Barack Obama
126,D,"In the face of impossible odds, people who love this country can change it.",Barack Obama
127,D,"I'm inspired by the people I meet in my travels--hearing their stories, seeing the hardships they overcome, their fundamental optimism and decency. I'm inspired by the love people have for their children. And I'm inspired by my own children, how full they make my heart. They make me want to work to make the world a little bit better. And they make me want to be a better man.",Barack Obama
128,D,"If you're walking down the right path and you're willing to keep walking, eventually you'll make progress.",Barack Obama
129,D,"If there's a child on the south side of Chicago who can't read, that matters to me, even if it's not my child. If there's a senior citizen somewhere who can't pay for their prescription, who has to choose between medicine and the rent, that makes my life poorer - even if it's not my grandparent. If there's an Arab-American or Mexican-American family being rounded up by John Ashcroft without benefit of an attorney or due process, I know that that threatens my civil liberties. And I don't have to be a woman to be concerned that the Supreme Court is trying to take away a woman's right, because I know that my rights are next. It is that fundamental belief - I am my brother’s keeper, I am my sister’s keeper - that makes this country work.",Barack Obama
130,D,There's not a liberal America and a conservative America - there's the United States of America.,Barack Obama
131,D,"We don't ask you to believe in our ability to bring change, rather, we ask you to believe in yours.",Barack Obama
132,D,"One voice can change a room, and if one voice can change a room, then it can change a city, and if it can change a city, it can change a state, and if it change a state, it can change a nation, and if it can change a nation, it can change the world. Your voice can change the world",Barack Obama
133,D,"I believe in evolution, scientific inquiry, and global warming; I believe in free speech, whether politically correct or politically incorrect, and I am suspicious of using government to impose anybody's religious beliefs -including my own- on nonbelievers.",Barack Obama
134,D,Focusing your life solely on making a buck shows a poverty of ambition. It asks too little of yourself. And it will leave you unfulfilled.,Barack Obama
135,D,What I’ve realized is that life doesn’t count for much unless you’re willing to do your small part to leave our children — all of our children — a better world. Any fool can have a child. That doesn’t make you a father. It’s the courage to raise a child that makes you a father.”,Barack Obama
136,D,"No, you can't deny women their basic rights and pretend it's about your 'religious freedom'. If you don't like birth control, don't use it. Religious freedom doesn't mean you can force others to live by your own beliefs.",Barack Obama
137,D,Nothing can stand in the way of the power of millions of voices calling for change.,Barack Obama
138,D,"it’s important to make sure that we’re talking with each other in a way that heals, not in a way that wounds.",Barack Obama
139,D,"Making your mark on the world is hard. If it were easy, everybody would do it. But it's not. It takes patience, it takes commitment, and it comes with plenty of failure along the way. The real test is not whether you avoid this failure, because you won't. it's whether you let it harden or shame you into inaction, or whether you learn from it; whether you choose to persevere.",Barack Obama
140,D,Why can't I just eat my waffle?,Barack Obama
141,D,"Hope is not blind optimism. It's not ignoring the enormity of the task ahead or the roadblocks that stand in our path. It's not sitting on the sidelines or shirking from a fight. Hope is that thing inside us that insists, despite all evidence to the contrary, that something better awaits us if we have the courage to reach for it, and to work for it, and to fight for it. Hope is the belief that destiny will not be written for us, but by us, by the men and women who are not content to settle for the world as it is, who have the courage to remake the world as it should be.",Barack Obama
142,D,"I have always believed that hope is that stubborn thing inside us that insists, despite all the evidence to the contrary, that something better awaits us so long as we have the courage to keep reaching, to keep working, to keep fighting.”",Barack Obama
143,D,"Our stories may be singular, but our destination is shared.",Barack Obama
144,D,The worst thing that colonialism did was to cloud our view of our past.,Barack Obama
145,D,You can put lipstick on a pig. It's still a pig.,Barack Obama
146,D,"More than a building that houses books and data, the library has always been a window to a larger world--a place where we've always come to discover big ideas and profound concepts that help move the American story forward. . . . .Libraries remind us that truth isn't about who yells the loudest, but who has the right information. Because even as we're the most religious of people, America's innovative genius has always been preserved because we also have a deep faith in facts.And so the moment we persuade a child, any child, to cross that threshold into a library, we've changed their lives forever, and for the better. This is an enormous force for good.",Barack Obama
147,D,"While we breathe, we will hope.",Barack Obama
148,D,No one is pro-abortion. ,Barack Obama
149,D,You can’t let your failures define you. You have to let your failures teach you.,Barack Obama
150,D,"Change will not come if we wait for some other person, or if we wait for some other time. We are the ones we've been waiting for. We are the change that we seek.",Barack Obama
151,D,"The best way to not feel hopeless is to get up and do something. Don’t wait for good things to happen to you. If you go out and make some good things happen, you will fill the world with hope, you will fill yourself with hope.",Barack Obama
152,D,A change is brought about because ordinary people do extraordinary things.,Barack Obama
153,D,Yes We Can!,Barack Obama
154,D,We are the change we have been waiting for.,Barack Obama
155,D,"In the unlikely story that is America, there has never been anything false about hope.",Barack Obama
156,D,"In the face of impossible odds, people who love this country can change it.",Barack Obama
157,D,"I'm inspired by the people I meet in my travels--hearing their stories, seeing the hardships they overcome, their fundamental optimism and decency. I'm inspired by the love people have for their children. And I'm inspired by my own children, how full they make my heart. They make me want to work to make the world a little bit better. And they make me want to be a better man.",Barack Obama
158,D,"If you're walking down the right path and you're willing to keep walking, eventually you'll make progress.",Barack Obama
159,D,"If there's a child on the south side of Chicago who can't read, that matters to me, even if it's not my child. If there's a senior citizen somewhere who can't pay for their prescription, who has to choose between medicine and the rent, that makes my life poorer - even if it's not my grandparent. If there's an Arab-American or Mexican-American family being rounded up by John Ashcroft without benefit of an attorney or due process, I know that that threatens my civil liberties. And I don't have to be a woman to be concerned that the Supreme Court is trying to take away a woman's right, because I know that my rights are next. It is that fundamental belief - I am my brother’s keeper, I am my sister’s keeper - that makes this country work.",Barack Obama
160,D,There's not a liberal America and a conservative America - there's the United States of America.,Barack Obama
161,D,"We don't ask you to believe in our ability to bring change, rather, we ask you to believe in yours.",Barack Obama
162,D,"One voice can change a room, and if one voice can change a room, then it can change a city, and if it can change a city, it can change a state, and if it change a state, it can change a nation, and if it can change a nation, it can change the world. Your voice can change the world",Barack Obama
163,D,"I believe in evolution, scientific inquiry, and global warming; I believe in free speech, whether politically correct or politically incorrect, and I am suspicious of using government to impose anybody's religious beliefs -including my own- on nonbelievers.",Barack Obama
164,D,Focusing your life solely on making a buck shows a poverty of ambition. It asks too little of yourself. And it will leave you unfulfilled.,Barack Obama
165,D,What I’ve realized is that life doesn’t count for much unless you’re willing to do your small part to leave our children — all of our children — a better world. Any fool can have a child. That doesn’t make you a father. It’s the courage to raise a child that makes you a father.”,Barack Obama
166,D,"No, you can't deny women their basic rights and pretend it's about your 'religious freedom'. If you don't like birth control, don't use it. Religious freedom doesn't mean you can force others to live by your own beliefs.",Barack Obama
167,D,Nothing can stand in the way of the power of millions of voices calling for change.,Barack Obama
168,D,"it’s important to make sure that we’re talking with each other in a way that heals, not in a way that wounds.",Barack Obama
169,D,"Making your mark on the world is hard. If it were easy, everybody would do it. But it's not. It takes patience, it takes commitment, and it comes with plenty of failure along the way. The real test is not whether you avoid this failure, because you won't. it's whether you let it harden or shame you into inaction, or whether you learn from it; whether you choose to persevere.",Barack Obama
170,D,Why can't I just eat my waffle?,Barack Obama
171,D,"Hope is not blind optimism. It's not ignoring the enormity of the task ahead or the roadblocks that stand in our path. It's not sitting on the sidelines or shirking from a fight. Hope is that thing inside us that insists, despite all evidence to the contrary, that something better awaits us if we have the courage to reach for it, and to work for it, and to fight for it. Hope is the belief that destiny will not be written for us, but by us, by the men and women who are not content to settle for the world as it is, who have the courage to remake the world as it should be.",Barack Obama
172,D,"I have always believed that hope is that stubborn thing inside us that insists, despite all the evidence to the contrary, that something better awaits us so long as we have the courage to keep reaching, to keep working, to keep fighting.”",Barack Obama
173,D,"Our stories may be singular, but our destination is shared.",Barack Obama
174,D,The worst thing that colonialism did was to cloud our view of our past.,Barack Obama
175,D,You can put lipstick on a pig. It's still a pig.,Barack Obama
176,D,"More than a building that houses books and data, the library has always been a window to a larger world--a place where we've always come to discover big ideas and profound concepts that help move the American story forward. . . . .Libraries remind us that truth isn't about who yells the loudest, but who has the right information. Because even as we're the most religious of people, America's innovative genius has always been preserved because we also have a deep faith in facts.And so the moment we persuade a child, any child, to cross that threshold into a library, we've changed their lives forever, and for the better. This is an enormous force for good.",Barack Obama
177,D,"While we breathe, we will hope.",Barack Obama
178,D,No one is pro-abortion. ,Barack Obama
179,D,You can’t let your failures define you. You have to let your failures teach you.,Barack Obama
180,D,"Change will not come if we wait for some other person, or if we wait for some other time. We are the ones we've been waiting for. We are the change that we seek.",Barack Obama
181,D,"The best way to not feel hopeless is to get up and do something. Don’t wait for good things to happen to you. If you go out and make some good things happen, you will fill the world with hope, you will fill yourself with hope.",Barack Obama
182,D,A change is brought about because ordinary people do extraordinary things.,Barack Obama
183,D,Yes We Can!,Barack Obama
184,D,We are the change we have been waiting for.,Barack Obama
185,D,"In the unlikely story that is America, there has never been anything false about hope.",Barack Obama
186,D,"In the face of impossible odds, people who love this country can change it.",Barack Obama
187,D,"I'm inspired by the people I meet in my travels--hearing their stories, seeing the hardships they overcome, their fundamental optimism and decency. I'm inspired by the love people have for their children. And I'm inspired by my own children, how full they make my heart. They make me want to work to make the world a little bit better. And they make me want to be a better man.",Barack Obama
188,D,"If you're walking down the right path and you're willing to keep walking, eventually you'll make progress.",Barack Obama
189,D,"If there's a child on the south side of Chicago who can't read, that matters to me, even if it's not my child. If there's a senior citizen somewhere who can't pay for their prescription, who has to choose between medicine and the rent, that makes my life poorer - even if it's not my grandparent. If there's an Arab-American or Mexican-American family being rounded up by John Ashcroft without benefit of an attorney or due process, I know that that threatens my civil liberties. And I don't have to be a woman to be concerned that the Supreme Court is trying to take away a woman's right, because I know that my rights are next. It is that fundamental belief - I am my brother’s keeper, I am my sister’s keeper - that makes this country work.",Barack Obama
190,D,There's not a liberal America and a conservative America - there's the United States of America.,Barack Obama
191,D,"We don't ask you to believe in our ability to bring change, rather, we ask you to believe in yours.",Barack Obama
192,D,"One voice can change a room, and if one voice can change a room, then it can change a city, and if it can change a city, it can change a state, and if it change a state, it can change a nation, and if it can change a nation, it can change the world. Your voice can change the world",Barack Obama
193,D,"I believe in evolution, scientific inquiry, and global warming; I believe in free speech, whether politically correct or politically incorrect, and I am suspicious of using government to impose anybody's religious beliefs -including my own- on nonbelievers.",Barack Obama
194,D,Focusing your life solely on making a buck shows a poverty of ambition. It asks too little of yourself. And it will leave you unfulfilled.,Barack Obama
195,D,What I’ve realized is that life doesn’t count for much unless you’re willing to do your small part to leave our children — all of our children — a better world. Any fool can have a child. That doesn’t make you a father. It’s the courage to raise a child that makes you a father.”,Barack Obama
196,D,"No, you can't deny women their basic rights and pretend it's about your 'religious freedom'. If you don't like birth control, don't use it. Religious freedom doesn't mean you can force others to live by your own beliefs.",Barack Obama
197,D,Nothing can stand in the way of the power of millions of voices calling for change.,Barack Obama
198,D,"it’s important to make sure that we’re talking with each other in a way that heals, not in a way that wounds.",Barack Obama
199,D,"Making your mark on the world is hard. If it were easy, everybody would do it. But it's not. It takes patience, it takes commitment, and it comes with plenty of failure along the way. The real test is not whether you avoid this failure, because you won't. it's whether you let it harden or shame you into inaction, or whether you learn from it; whether you choose to persevere.",Barack Obama
200,D,Why can't I just eat my waffle?,Barack Obama
